video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@borisk4444,2024-11-05T14:35:10Z,2024-11-05T14:35:10Z,0,"Trump with ease!!!, who in the right mind thinks this could be a close race.",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@danielgetamesay26,2024-11-05T14:24:44Z,2024-11-05T14:24:44Z,146,America will be a joke if Harris Wins 😂😂😂,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@MexicoAdventurer,2024-11-05T14:23:14Z,2024-11-06T15:46:24Z,64,"Don&#39;t believe that it&#39;s close. There&#39;s only one way it can be close, and that&#39;s to repeat the shenanigans of 2020. <br>Edit: Above comment was made before the election. This edit is made after the election. See? Told you so.",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@sujapullen8261,2024-11-05T14:21:42Z,2024-11-05T14:21:42Z,0,"I hope Kamaaaaala the Ellie loses, coz if she wins we have 3 world war soon. She and her puppet master Barkhat Hussain Obama needs to go",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@lyrav2024,2024-11-05T13:56:37Z,2024-11-05T13:56:37Z,6,This election will show the counts of true patriots.,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@jcrshankar,2024-11-05T13:51:36Z,2024-11-05T13:51:36Z,2,Trump 2024,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@sps6,2024-11-05T13:50:28Z,2024-11-05T13:50:28Z,22,Ladies and gentlemen...presenting you the  new president of USA .....donald duck,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Ratnapal12,2024-11-05T13:46:15Z,2024-11-05T13:46:15Z,7,"Tomorrow 5.30 pm,anymore quary?",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Adventour04,2024-11-05T13:32:26Z,2024-11-05T13:32:26Z,36,Come on Trump. You should win this,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@johnnewton7075,2024-11-05T13:31:49Z,2024-11-05T13:31:49Z,8,"‼️ If Harris wins the election in USA, you will have a clone of Annalena Baerbock - as president: Good luck 🙈🤣 ...translate...",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@lion_Systemrblx,2024-11-05T13:25:19Z,2024-11-05T13:25:19Z,0,Trump deserves this i dont think a women can control a country like usa,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@GarbaAbu-e4t,2024-11-05T13:13:53Z,2024-11-05T13:13:53Z,3,Trump always,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@niishha_5230,2024-11-05T13:11:12Z,2024-11-05T13:11:38Z,9,I hope Harris win 🎉,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@mahinkrishnan3594,2024-11-05T13:00:59Z,2024-11-05T13:00:59Z,4,We need Trump,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@freddiegarson9028,2024-11-05T12:51:12Z,2024-11-05T12:51:12Z,14,The big Nation we need Strong Leader...<br>Just like Joshua in the Old Testament...<br>Watching from Talisay City Cebu Philippines 🙏,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@RavijohnEluka,2024-11-05T12:50:44Z,2024-11-05T12:50:44Z,4,Trump ❤,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@freddiegarson9028,2024-11-05T12:49:39Z,2024-11-05T12:49:39Z,10,God bless United States of America 🙏<br>Watching from Talisay City Cebu Philippines,https://www.youtube.com/watch?v=WKCDwc-GLe4
