video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
What to expect on US election night | BBC News,BBC News,@RajaYusef,2024-11-02T18:57:39Z,2024-11-02T18:57:39Z,0,Nice❤❤❤,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@AdvchaitaliSingh,2024-11-02T18:16:15Z,2024-11-02T18:16:15Z,0,"National crime record bureau statement<br><br>1 RAPE In INDIA every 16 min<br><br>49% VOTER women at risk<br><br>CJI took case suo Moto didn&#39;t gave definite verdict and arresting all &amp; trying to wash out few names<br><br>High time awareness must be spread across <br><br>Women property loot since covid19 seen alarming hight in district subdivision session court with support of corrupt lawyers <br><br>Despite bnss civil property cases aren&#39;t online yet , why ???<br><br>All will / property cases in districts subdivision court , honourable PM home minister , law minister must ask relook if disproportionate share of property is seen",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@auro1986,2024-11-02T17:42:12Z,2024-11-02T17:42:12Z,0,bbc has spread many more ballot boxes on roads there in america,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@peacesounds6942,2024-11-02T17:26:33Z,2024-11-02T17:26:33Z,0,"VOTE FOR JILL STEIN FOR GOD SAKE! Kamala &amp; Trump are Israel puppets. They will just use billion of tax money to supply bombs to kill babies. Big No No <a href=""http://www.youtube.com/results?search_query=%23greenparty"">#GreenParty</a> <a href=""http://www.youtube.com/results?search_query=%23saynotogenocide"">#SayNoToGenocide</a> <a href=""http://www.youtube.com/results?search_query=%23saynotokamala"">#SayNoToKamala</a> <a href=""http://www.youtube.com/results?search_query=%23saynototrump"">#SayNoToTrump</a> <a href=""http://www.youtube.com/results?search_query=%23myvoteforjillstein"">#MyVoteForJillStein</a>",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@jenp2226,2024-11-02T17:19:57Z,2024-11-02T17:19:57Z,7,"The rate of inflation is down, prices are not down.",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MrSergdmitriev,2024-11-02T17:12:04Z,2024-11-02T17:12:04Z,0,"<a href=""https://www.youtube.com/watch?v=lZDeT0n2b_M"">https://youtu.be/lZDeT0n2b_M?si=cE0djIIndLijv8HZ</a>",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@westgmd,2024-11-02T17:05:57Z,2024-11-02T17:05:57Z,2,What we expect on election night is a bunch of left biased media people to be sad 😂😂,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@pradishkumar9584,2024-11-02T16:52:35Z,2024-11-02T16:52:35Z,0,All world wars create in America,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@pradishkumar9584,2024-11-02T16:51:41Z,2024-11-02T16:51:41Z,0,All problem create us in world,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MuhammadAsif-b4i3z,2024-11-02T16:48:21Z,2024-11-02T16:48:21Z,0,Iraq no ateck  kuwait bharain  after,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MuhammadAsif-b4i3z,2024-11-02T16:45:33Z,2024-11-02T16:45:33Z,0,Davil,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MuhammadAsif-b4i3z,2024-11-02T16:30:56Z,2024-11-02T16:30:56Z,0,Jatt rule,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MuhammadAsif-b4i3z,2024-11-02T16:29:58Z,2024-11-02T16:29:58Z,0,Rule jatt,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@MuhammadAsif-b4i3z,2024-11-02T16:29:06Z,2024-11-02T16:29:06Z,0,Bush✋✍🤔,https://www.youtube.com/watch?v=qBbBjlKI1xo
